iter	Passed	Remaining
0	164	164322
1	166	82982
2	167	55689
3	169	42104
4	171	34056
5	172	28610
6	174	24695
7	175	21793
8	177	19516
9	178	17701
10	180	16200
11	181	14942
12	183	13902
13	185	13056
14	187	12289
15	188	11617
16	190	11013
17	192	10478
18	193	10002
19	195	9572
20	197	9186
21	199	8861
22	202	8581
23	204	8296
24	205	8024
25	207	7784
26	209	7558
27	211	7356
28	214	7169
29	216	6990
30	218	6817
31	220	6658
32	222	6508
33	224	6365
34	226	6245
35	228	6112
36	230	5993
37	232	5881
38	234	5771
39	235	5659
40	237	5566
41	240	5481
42	242	5397
43	244	5318
44	246	5235
45	248	5155
46	250	5079
47	252	5008
48	254	4936
49	256	4869
50	258	4808
51	260	4743
52	261	4677
53	263	4620
54	265	4569
55	267	4510
56	269	4459
57	271	4411
58	273	4365
59	275	4314
60	276	4262
61	278	4216
62	280	4173
63	282	4125
64	283	4084
65	285	4043
66	288	4011
67	289	3974
68	291	3935
69	293	3899
70	295	3866
71	296	3827
72	298	3792
73	300	3758
74	302	3732
75	304	3701
76	305	3667
77	307	3639
78	309	3609
79	311	3581
80	312	3550
81	314	3524
82	315	3491
83	317	3467
84	319	3442
85	321	3418
86	323	3395
87	325	3372
88	327	3347
89	329	3328
90	331	3309
91	333	3289
92	335	3270
93	337	3251
94	339	3229
95	340	3207
96	342	3187
97	344	3168
98	346	3149
99	347	3131
100	350	3115
101	351	3098
102	353	3082
103	355	3066
104	357	3048
105	359	3032
106	361	3019
107	363	3006
108	365	2989
109	367	2973
110	369	2959
111	371	2943
112	373	2928
113	374	2913
114	377	2901
115	379	2891
116	380	2875
117	383	2864
118	385	2853
119	387	2841
120	390	2834
121	392	2823
122	395	2816
123	397	2810
124	400	2801
125	402	2792
126	404	2781
127	406	2771
128	409	2762
129	411	2752
130	413	2742
131	415	2732
132	417	2722
133	420	2714
134	422	2704
135	424	2693
136	425	2682
137	427	2672
138	429	2662
139	431	2648
140	433	2642
141	435	2630
142	437	2621
143	439	2610
144	440	2599
145	442	2589
146	444	2577
147	445	2566
148	448	2558
149	450	2552
150	452	2546
151	455	2538
152	456	2529
153	458	2521
154	461	2514
155	463	2508
156	465	2501
157	468	2496
158	470	2489
159	472	2480
160	473	2468
161	475	2459
162	478	2454
163	480	2447
164	482	2440
165	484	2431
166	486	2424
167	488	2418
168	490	2411
169	493	2408
170	495	2402
171	497	2394
172	499	2386
173	501	2378
174	503	2371
175	504	2363
176	507	2357
177	509	2351
178	511	2346
179	514	2342
180	516	2337
181	519	2332
182	522	2332
183	525	2331
184	528	2328
185	531	2323
186	533	2319
187	536	2317
188	539	2315
189	542	2312
190	544	2308
191	547	2303
192	550	2299
193	553	2297
194	555	2293
195	558	2289
196	560	2283
197	561	2276
198	564	2271
199	566	2266
200	569	2262
201	571	2257
202	573	2251
203	575	2245
204	577	2240
205	579	2234
206	582	2230
207	584	2224
208	586	2219
209	588	2215
210	591	2212
211	594	2210
212	598	2209
213	600	2204
214	602	2200
215	604	2194
216	607	2190
217	609	2186
218	613	2188
219	615	2183
220	618	2180
221	622	2182
222	625	2180
223	630	2183
224	633	2183
225	636	2179
226	638	2173
227	640	2169
228	642	2163
229	644	2159
230	647	2154
231	649	2149
232	651	2144
233	653	2140
234	655	2134
235	657	2129
236	659	2124
237	661	2118
238	663	2112
239	665	2107
240	667	2101
241	669	2095
242	670	2090
243	673	2085
244	674	2079
245	676	2073
246	677	2066
247	679	2059
248	680	2052
249	681	2045
250	683	2038
251	685	2033
252	686	2027
253	688	2022
254	690	2016
255	691	2010
256	693	2003
257	694	1997
258	695	1990
259	697	1984
260	698	1977
261	700	1972
262	701	1966
263	704	1962
264	705	1957
265	707	1952
266	709	1946
267	710	1941
268	712	1936
269	714	1932
270	716	1927
271	718	1923
272	720	1918
273	722	1913
274	723	1908
275	725	1903
276	727	1898
277	729	1894
278	731	1890
279	733	1886
280	735	1881
281	737	1877
282	738	1872
283	741	1868
284	742	1863
285	744	1859
286	747	1855
287	749	1852
288	751	1848
289	753	1843
290	754	1839
291	756	1834
292	758	1830
293	760	1826
294	762	1823
295	764	1818
296	766	1814
297	768	1810
298	770	1806
299	771	1801
300	774	1797
301	775	1793
302	777	1788
303	779	1783
304	780	1778
305	781	1773
306	783	1768
307	785	1763
